initial_mass,Gaia_G,Gaia_BP,Gaia_RP
0.4075118260192678,9.578086,10.629752,8.559154
0.4329428650274666,9.377398,10.396639,8.374813
0.454272748945805,9.207714,10.199803,8.219268
0.4700950825089095,9.075819,10.045912,8.099067
0.4849784013357604,8.952363,9.902317,7.986464
0.49968991373157867,8.831001,9.761621,7.875634
0.5163175643036488,8.685125,9.59086,7.743795
0.5323223765184274,8.54556,9.428569,7.617579
0.5477264622052199,8.412005,9.274078,7.496737
0.5598368477679152,8.303686,9.147674,7.399675
0.5718948497771498,8.195265,9.0211,7.30274
0.5843841123325335,8.083102,8.890297,7.202487
0.5961768074198224,7.977185,8.766781,7.107852
0.6051546830845395,7.893363,8.667215,7.034295
0.6128962858631829,7.819146,8.578089,6.969977
0.6215009303472491,7.736803,8.479469,6.898626
0.6297802941472119,7.657722,8.385019,6.830082
0.6377583877611255,7.581643,8.294379,6.764113
0.6454566418736489,7.508338,8.207232,6.700514
0.6534719182423088,7.432128,8.1168,6.634352
0.6619604488937381,7.351512,8.021332,6.564309
0.6701309231871575,7.273942,7.929721,6.496871
0.678006639433995,7.19927,7.841775,6.431896
0.6856084093683795,7.127359,7.75731,6.369263
0.6938353990554558,7.049798,7.66645,6.30164
0.7028345465284827,6.968334,7.570974,6.230786
0.7131130765404056,6.883394,7.470834,6.157387
0.7230203153114155,6.802145,7.3755,6.087108
0.7325825154760931,6.724298,7.284482,6.019608
0.7427907846716755,6.641758,7.188331,5.947929
0.7530211182457905,6.559638,7.092991,5.876515
0.7630772956968583,6.479498,7.000223,5.806752
0.7727816865205628,6.402701,6.911534,5.739847
0.7821583206942073,6.329019,6.826701,5.675406
0.7918774826421772,6.253201,6.739684,5.608884
0.80146412287516,6.178937,6.654689,5.543721
0.8113733007747985,6.102697,6.567633,5.477045
0.8209449749374211,6.029527,6.484234,5.413487
0.8302014909781561,5.959193,6.404198,5.352803
0.8394921819924261,5.889053,6.324559,5.291965
0.8485377801911724,5.82119,6.247662,5.232713
0.8580256481207992,5.750469,6.167742,5.170555
0.8675296037040877,5.680082,6.088294,5.108274
0.8767268474982393,5.612388,6.011853,5.047992
0.8857014671514364,5.546755,5.937776,4.989846
0.8943466987156758,5.48392,5.866978,4.934698
0.9031858367226105,5.423681,5.799518,4.881784
0.9130294217073415,5.364048,5.733496,4.828784
0.9225458389301302,5.306579,5.669897,4.777706
0.9317427716695379,5.251195,5.608626,4.728395
0.9406411931254125,5.197762,5.54953,4.680737
0.9492600659467005,5.146171,5.492495,4.634742
0.9581450438290411,5.093143,5.433897,4.587485
0.9676453290093765,5.0366,5.371452,4.537112
