initial_mass,Gaia_G,Gaia_BP,Gaia_RP
5.922718089951788,-0.925205,-1.035332,-0.717047
5.959712396660979,-0.93917,-1.049783,-0.730023
5.996559971452031,-0.953092,-1.064191,-0.74296
6.033347694987715,-0.967007,-1.07859,-0.75589
6.071147601962464,-0.981351,-1.09343,-0.769221
6.108390396467206,-0.995493,-1.10806,-0.782366
6.147147256267199,-1.010273,-1.123348,-0.79611
6.18549452674201,-1.024918,-1.138493,-0.809731
6.244629568177058,-1.046967,-1.161233,-0.830373
6.319541673011231,-1.074747,-1.189852,-0.856446
6.391340569788763,-1.101432,-1.217335,-0.881509
6.483025536488499,-1.133178,-1.250006,-0.911382
6.577031752301111,-1.165592,-1.283351,-0.941923
6.6688153169697655,-1.197355,-1.316014,-0.971881
6.762812984695963,-1.230005,-1.349579,-1.002708
6.857185497640869,-1.262905,-1.38339,-1.0338
6.948083080620609,-1.294697,-1.416052,-1.063873
7.0433425473666205,-1.328116,-1.450376,-1.09551
7.1386012405650145,-1.361641,-1.484799,-1.127273
7.236690426212764,-1.393976,-1.517987,-1.157942
7.3470902587709315,-1.426153,-1.550993,-1.188501
7.463595246672667,-1.460192,-1.585904,-1.220847
7.577766790602251,-1.493634,-1.620194,-1.252644
7.689057855752402,-1.526311,-1.653692,-1.28373
7.8005975702041,-1.559132,-1.687331,-1.314967
7.917224872161857,-1.593519,-1.72257,-1.347706
8.033471653212327,-1.627864,-1.757761,-1.380418
8.146752166984985,-1.661402,-1.792118,-1.412373
8.258223174039772,-1.694464,-1.825984,-1.443883
8.373961187973876,-1.728845,-1.861194,-1.476656
8.493124344236977,-1.76429,-1.897493,-1.510447
8.609190560203553,-1.798875,-1.932907,-1.543424
8.722305185266105,-1.832635,-1.96747,-1.575617
8.833768106379267,-1.865948,-2.001575,-1.607387
8.95569077100074,-1.902402,-2.038895,-1.642145
9.075502989406562,-1.934416,-2.071659,-1.672682
9.192193160531982,-1.963408,-2.101323,-1.700348
9.306950389652457,-1.992013,-2.130587,-1.727643
9.425070502485495,-2.021435,-2.16069,-1.755711
9.54679288845421,-2.051748,-2.191705,-1.784621
9.666248705423985,-2.081332,-2.221979,-1.812813
9.784892171350643,-2.111044,-2.252368,-1.841158
9.904122792893451,-2.140883,-2.282896,-1.869595
10.036165948173485,-2.172894,-2.315648,-1.900088
10.211350619425637,-2.212033,-2.355689,-1.937371
10.387628282644187,-2.251514,-2.396087,-1.974955
10.5640875835089,-2.291112,-2.436607,-2.012632
10.740332665847738,-2.330772,-2.477189,-2.050359
10.91870314821044,-2.371062,-2.518414,-2.088686
11.105842386016786,-2.411013,-2.55928,-2.126708
11.306856353288149,-2.451956,-2.601151,-2.165688
11.505391788493368,-2.492464,-2.642571,-2.204261
11.706172177252547,-2.533439,-2.684466,-2.243281
11.905707758039615,-2.57417,-2.726106,-2.28208
12.132129877048913,-2.617937,-2.770831,-2.323806
12.37958766465028,-2.663861,-2.817742,-2.367627
12.627461929294155,-2.70997,-2.864824,-2.411666
12.87640675248604,-2.756245,-2.912061,-2.455893
13.133416083943185,-2.80179,-2.958534,-2.499468
13.398051466548347,-2.846592,-3.004227,-2.542381
13.663739600387537,-2.891554,-3.050063,-2.585498
13.930283207935819,-2.936651,-3.09601,-2.628806
14.232469914728728,-2.984613,-3.144834,-2.674966
14.547654436700064,-3.033566,-3.194632,-2.722163
14.863557794947463,-3.082731,-3.24462,-2.769627
15.1843759209823,-3.130301,-3.292976,-2.815563
15.509470807765448,-3.177325,-3.34075,-2.861028
15.835877407268292,-3.22442,-3.388587,-2.90658
16.19181082395349,-3.274043,-3.438958,-2.954649
16.577176693082237,-3.32578,-3.491452,-3.004812
16.963392193215817,-3.377738,-3.544148,-3.055239
17.424319058548082,-3.435355,-3.602558,-3.111219
17.89460436135727,-3.49406,-3.662027,-3.168353
18.316696817073332,-3.543827,-3.712424,-3.216836
18.725836394248955,-3.590836,-3.76001,-3.262678
19.20531852577216,-3.644496,-3.814294,-3.315087
19.824770267942576,-3.710196,-3.880741,-3.379316
20.398293202400758,-3.766944,-3.938087,-3.434913
20.955427860738464,-3.820285,-3.991953,-3.487265
21.515395513077312,-3.873532,-4.045691,-3.539618
22.099334823116106,-3.92757,-4.100183,-3.592883
22.822913400289515,-3.987791,-4.160852,-3.652405
23.549215485661026,-4.047705,-4.221165,-3.711766
24.289621359423737,-4.106193,-4.279999,-3.769832
25.05654974311419,-4.163053,-4.337152,-3.826373
25.8269935727352,-4.21991,-4.394285,-3.882958
29.70645635444428,-4.467724,-4.643252,-4.129538
30.67349440855361,-4.522358,-4.69817,-4.183758
31.66611402849147,-4.57694,-4.753057,-4.237835
32.77060037692754,-4.634627,-4.811076,-4.294931
33.94039137289406,-4.69417,-4.870956,-4.353848
35.70801767162033,-4.776381,-4.953671,-4.435088
36.917541143343406,-4.825885,-5.003463,-4.484014
38.02967930464958,-4.869506,-5.047331,-4.527132
39.16367728034031,-4.913837,-5.091915,-4.570939
40.31950341061251,-4.958818,-5.137156,-4.615373
41.49845121538019,-5.004486,-5.18309,-4.66047
42.70084670791705,-5.050948,-5.229823,-4.706343
43.92727678327342,-5.098185,-5.277337,-4.75297
45.46993126922806,-5.153505,-5.332975,-4.80758
48.794225002559,-5.253415,-5.433419,-4.906279
52.095757153519294,-5.35256,-5.533104,-5.004164
55.4051396090011,-5.448811,-5.629944,-5.098953
59.1331414245122,-5.541052,-5.722782,-5.18966
64.96825990006668,-5.667428,-5.850087,-5.313602
70.42562797219159,-5.773702,-5.95702,-5.418174
72.90406543346468,-5.81908,-6.002633,-5.462964
95.32960073092033,-6.134397,-6.318458,-5.778076
99.72194174609092,-6.192656,-6.376548,-5.837054
106.67765940569113,-6.280417,-6.464005,-5.926036
111.12930182801173,-6.338015,-6.521388,-5.984469
117.6731207586617,-6.41924,-6.60229,-6.066922
125.76578501762324,-6.517179,-6.699845,-6.166312
131.26366933356005,-6.582508,-6.764964,-6.232429
136.9681289132114,-6.650162,-6.832457,-6.300687
141.03494261973546,-6.69775,-6.879973,-6.348541
148.81575272768782,-6.78563,-6.967824,-6.436532
165.06305900878246,-6.922884,-7.104651,-6.575391
187.64397652774267,-7.087514,-7.268696,-6.742252
210.19766476822232,-7.222346,-7.403107,-6.878776
