source_id,ra,dec,parallax,parallax_error,period,period_error,mag,mag_err
2.93451E+18,105.9794447,-17.87991436,0.174089833,0.031019905,4.204866925,2.59E-05,8.969,0.021
5.59733E+18,119.7467363,-29.307863,0.148992946,0.027571735,14.1573499,2.67E-04,7.46,0.033
5.59692E+18,119.1538794,-30.95279289,0.111358259,0.01924979,2.494478268,7.41E-06,10.842,0.021
5.5966E+18,121.5894713,-30.0968707,0.150709146,0.028481588,13.6701048,2.19E-04,7.141,0.024
5.4363E+18,143.4618775,-36.61573658,0.29238422,0.028567592,5.89839456,1.73E-05,7.562,0.029
5.59438E+18,119.0520071,-32.60264047,0.209041001,0.034682642,4.516748991,3.24E-05,8.679,0.021
5.59738E+18,119.5920234,-29.13008263,0.28998915,0.034253941,30.09020664,0.001012425,5.091,0.021
5.59409E+18,119.6794642,-33.58976324,0.202723159,0.024713295,2.013367221,2.16E-04,10.717,0.019
5.59565E+18,118.4532436,-30.46030714,0.278544199,0.029056717,5.077562953,2.96E-05,7.872,0.027
5.59735E+18,119.4578565,-29.38404659,0.187499987,0.031675226,2.586120022,5.97E-06,9.232,0.019
5.62015E+18,112.8501305,-20.77480758,0.110501798,0.019515722,12.56329,1.42E-04,10.441,0.019
2.95226E+18,101.9293441,-13.66667801,0.252566081,0.034985935,3.603446254,1.11E-05,9.421,0.021
3.11361E+18,102.330441,0.330867627,0.226226551,0.040745684,2.279828408,5.45E-06,9.834,0.024
3.12343E+18,96.86102633,1.193810751,0.34182476,0.057636185,7.393499759,6.72E-05,8.324,0.031
3.06057E+18,111.3448389,-3.597396517,0.289706098,0.040653614,13.48925723,1.71E-04,5.714,0.023
3.39971E+18,87.72822599,20.24657773,0.649260345,0.034803581,3.339425934,7.24E-06,8.578,0.02
3.33026E+18,91.85610834,11.15197636,0.258268404,0.046237027,2.671488546,1.25E-05,8.938,0.019
3.11248E+18,104.5038938,-0.375963383,0.191893966,0.037557,7.424615589,1.81E-04,7.785,0.026
3.35192E+18,100.1565086,11.72747874,0.258320627,0.041413144,4.978532952,2.87E-05,8.789,0.021
4.17502E+18,268.1612448,-6.14359644,1.361059042,0.083443444,17.12484064,0.002846046,2.817,0.302
6.20373E+18,224.8760252,-35.37426065,0.659788314,0.115422171,9.164866861,1.72E-04,5.051,0.024
6.11765E+18,213.4847207,-38.09634565,0.448008575,0.062370887,5.029705066,5.34E-05,6.119,0.018
1.99925E+18,358.0292754,58.74171998,0.319332583,0.033475819,12.14061254,1.09E-04,6.487,0.024
1.99446E+18,354.4081031,54.84718358,0.387490686,0.039546574,6.336468852,4.88E-05,6.59,0.02
1.99838E+18,359.1111634,58.02685973,0.25024188,0.029614272,4.734807784,1.27E-05,8.712,0.019
5.60063E+18,117.5130111,-28.25514102,0.196709272,0.027022966,7.198623012,2.59E-05,7.73,0.023
5.60005E+18,114.6468185,-28.49960118,0.138201492,0.026470144,23.1728436,1.34E-04,6.463,0.02
5.60086E+18,119.2654664,-28.16157524,0.152684161,0.028729737,3.330977384,9.64E-06,9.275,0.023
6.02707E+18,251.4711554,-33.16585383,0.162071816,0.031032867,1.45593961,9.22E-07,11.514,0.023
6.02641E+18,254.5822926,-33.60912907,1.130587583,0.055226446,14.59765594,8.52E-05,4.628,0.02
5.69864E+18,119.5214088,-24.04175799,0.162619219,0.027544175,5.250244267,2.69E-05,8.364,0.029
5.69904E+18,120.0954529,-23.70316734,0.158537893,0.030870692,5.027297565,1.17E-05,8.226,0.023
1.82562E+18,294.1572045,20.33293177,1.052989473,0.038967296,7.990139955,6.83E-05,4.11,0.386
3.04448E+18,107.3142106,-13.78608837,0.313725252,0.033527682,4.670026936,8.18E-06,7.484,0.024
3.04677E+18,109.1568037,-11.48729762,0.616424584,0.047487085,4.678299964,2.16E-05,5.853,0.021
3.05005E+18,105.2492405,-8.708983279,0.268923179,0.044215631,8.011272475,6.97E-05,6.856,0.017
1.96897E+18,318.6684696,41.71633688,0.895997989,0.027304847,5.257599848,2.19E-05,5.489,0.016
5.61341E+18,112.8154862,-25.90739108,0.226885959,0.026659754,2.148101202,3.17E-06,9.604,0.021
5.61523E+18,112.6612501,-24.68751606,0.147464403,0.029354304,3.918821695,2.12E-05,10.296,0.019
5.61317E+18,111.1691258,-26.18849069,0.213099153,0.026878583,5.815847521,4.88E-05,8.341,0.031
5.6166E+18,111.5299613,-25.25729898,0.201214874,0.029159926,12.35349938,1.88E-04,6.722,0.016
5.61338E+18,113.3979224,-25.84366701,0.155946493,0.023537566,2.872001982,1.22E-05,10.765,0.023
5.61397E+18,115.4958385,-25.87617026,0.334659736,0.037643885,8.934224216,3.05E-05,6.539,0.021
4.35263E+18,247.7059948,-5.505467163,0.3586641,0.045188194,1.115919964,6.27E-07,9.862,0.021
4.5824E+17,38.63041588,58.83161775,0.365569608,0.034501145,6.579969816,9.00E-05,7.231,0.016
4.62408E+17,52.35820609,60.44646683,0.18782869,0.033834735,11.27625208,6.89E-05,8.387,0.021
4.62253E+17,50.94951245,59.35566901,0.222391101,0.036582075,4.156364319,1.29E-05,8.348,0.015
4.57807E+17,38.46902157,57.02749614,0.265173013,0.040032743,3.649421264,3.79E-05,8.564,0.017
4.59036E+17,36.8977611,58.91715117,0.394152605,0.035271059,5.530696066,3.84E-05,6.979,0.017
4.59264E+17,36.80736435,59.46060116,0.365079918,0.041510913,13.63863803,2.65E-04,6.007,0.018
1.74489E+17,71.94298042,36.72278128,1.041957404,0.063711549,6.46466319,1.90E-04,4.63,0.021
5.22468E+17,18.17150437,61.21335319,0.1485803,0.029586418,4.259252637,1.86E-05,8.625,0.014
5.15833E+17,41.0808211,64.76592304,0.225540847,0.030493798,4.238411999,1.39E-05,8.021,0.029
5.25137E+17,18.75455581,65.59940471,0.37386002,0.027643375,6.272785267,6.14E-05,7.045,0.021
5.237E+17,14.38545384,63.15643381,0.146070463,0.020179365,2.488367325,2.90E-06,10.696,0.023
1.82787E+18,296.6466006,22.88975421,0.418600076,0.034053264,5.197252133,2.78E-05,7.136,0.023
2.03443E+18,299.8904437,33.74603514,0.212111739,0.026476032,5.782898982,6.44E-05,7.928,0.033
2.03301E+18,296.2653428,31.33077441,0.146687998,0.028243708,4.288973746,6.28E-06,9.429,0.017
4.12646E+18,251.9568022,-22.77607692,0.189866343,0.031003411,1.248748187,7.79E-07,11.318,0.026
3.02794E+18,110.3868984,-16.68721788,0.491693575,0.03958975,4.256890135,1.56E-05,6.929,0.024
